S.N.,Date,Reference/From where did they come to know about us?,comments
2344,24-Aug-24,Facebook,Sitaphal
2345,24-Aug-24,Facebook, Spine road pe Babmbo ke sapllings kitne lgaye hai puchne ke liye call kiya tha
2346,24-Aug-24,Instagram,Lemon
2347,24-Aug-24,Instagram,"Sitaphal,Guava"
2348,24-Aug-24,Instagram,Bamboo ( Only Coumpaund )
2349,24-Aug-24,Instagram,Not Desided
2350,24-Aug-24,Instagram,Guava
2351,26-Aug-24,Instagram,Sitaphal
2352,26-Aug-24,Instagram,Vegetables
2353,26-Aug-24,Instagram,Mix
2354,26-Aug-24,Instagram,Not Desided
2355,26-Aug-24,Instagram,"Orange,Mosambi"
2356,26-Aug-24,Instagram,Khajur
2357,26-Aug-24,Instagram,"Mango,Sitaphal"
2358,26-Aug-24,Instagram,Not Desided
2359,26-Aug-24,Instagram,"Sitaphal,Mango"
2360,26-Aug-24,Instagram,"Lemon,Bambo,Sagwan"
2361,26-Aug-24,Instagram,4 year ago planted a mango and sitaphal in 5 acres called for a F4F information about F4F
2362,26-Aug-24,Instagram,"Sitaphal,Mosambi"
2363,26-Aug-24,Instagram,Not Desided
2364,27-Aug-24,Instagram,Mango
2365,27-Aug-24,Instagram,Sitaphal
2366,27-Aug-24,Instagram,Called to get information about carbon credit
2367,27-Aug-24,Instagram,Jambul
2368,27-Aug-24,Instagram,All Mix Plant lagane hai
2369,27-Aug-24,Instagram,Mango
2370,27-Aug-24,Instagram,"Guava,Dragen"
2371,27-Aug-24,Instagram,Lemon
2372,28-Aug-24,Poster/Flyer,Mango
2373,28-Aug-24,F4F_Team,FID has been generated but saplings could be delivered. Farmer is advised by field team to collect saplings from Nursery.
2374,28-Aug-24,F4F_Team,Wanted to talk to Pravin Mulay.
2375,28-Aug-24,Instagram,Sitafal
2376,28-Aug-24,Instagram,Not decided
2377,28-Aug-24,Instagram,"Jamun, Mosambi"
2378,28-Aug-24,Peer to Peer,Mango
2379,28-Aug-24,Instagram,"Mango,Jambhul"
2380,28-Aug-24,Instagram,Mango
2381,29-Aug-24,Instagram,Only Sitaphal 
2382,29-Aug-24,Instagram,Not Desided
2383,29-Aug-24,Instagram,Called to get information about F4F
2384,29-Aug-24,Instagram,Not Desided
2385,29-Aug-24,Instagram,Only Mango lagana hai
2386,29-Aug-24,Instagram,Not Desided
2387,29-Aug-24,Instagram,Not Desided
2388,29-Aug-24,Instagram,Not Desided
2389,29-Aug-24,Instagram,Mango 
2390,29-Aug-24,Instagram,Sitaphal (Water Problem)
2391,29-Aug-24,Instagram,Interested Farmer
2392,29-Aug-24,Instagram,"Mango,Guava"
2393,29-Aug-24,Instagram,Pomegrante
2394,30-Aug-24,Instagram,Not Desided
2395,30-Aug-24,Instagram,"Sitaphal,Mango"
2396,30-Aug-24,Peer to Peer,"Water Problem( Mango,Lemon,Chiku,Cocunat)"
2397,30-Aug-24,Facebook,"Sitaphal,Chinch"
2398,30-Aug-24,Facebook,Pentris Donate Chenai Se call tha 10 plant wedding gift through donate krna hai
2399,30-Aug-24,Facebook,Called to get information about F4F
2400,30-Aug-24,Facebook,"Sitaphal,Lemon,Orange ( Kitne acre pe lagana hai ye deside nhi kiya )"
2401,30-Aug-24,Facebook,(Old Participant )Harshad Hajare Farmer hai 6 month phle F4F me saplings ke liye paise bhre hai lekin unko saplings nhi mile hai to unke freind ne complain kiya hai
2402,30-Aug-24,Facebook,Cocunat 
2403,30-Aug-24,Facebook,"Chiku,Jambul"
2404,31-Aug-24,Facebook,Bambo
2405,31-Aug-24,Facebook,Not Desided
2406,31-Aug-24,Facebook,Guava
2407,31-Aug-24,Facebook,16 july 2024 ko F4F se 540 Sitaphal ke saplings lgaye the lekin sabi ped jal gaye to farmer ne kud se kharid ke plant lgaye Fild asscociate Manish Sing sir ne office me call krke btane keliye kha tha to is liye farmer ne call kiya tha
2408,31-Aug-24,Facebook,Called to get information about F4F
2409,31-Aug-24,Facebook,Pomegranate
2410,31-Aug-24,Facebook,Not Desided
2411,02-Sep-24,Facebook,4 Year ago arlredy plantation done in 8 acre just want carbon credit
2412,02-Sep-24,Facebook,"Mango,Jambul"
2413,02-Sep-24,Facebook,Sitaphal
2414,02-Sep-24,Facebook,Sitaphal
2415,02-Sep-24,Facebook,Mix sapling lgane hai akole block se hai us block me kam shuru nhi hai lekin farmer bohobt request kr rhe hai khud se transpot krenge yesa kh rhe the aur Shrigonda jyada dur nhi hai kh rhe the 
2416,02-Sep-24,Facebook,"Jambul,Bamboo ( Mahesh Lamkhade sir se bat hui hai  )"
2417,02-Sep-24,Facebook,Pomegranate
2418,02-Sep-24,Facebook,"delhi se call tha Fruit ka koi event hai krutika mam ko invite krna hai Anita mam ko mail bhi kiya hai yesa bta rhe the mam ka replay nhi aya unka number mang rhe the (Phle bhi 2,3 bar alg alg number se call centre pe delhi se same call aya hai )"
2419,02-Sep-24,Facebook, Old participate pichle sal 250 Saplings lgaye the Drip achese lgaya nhi to  50 keshar mango jal gaye wo abi une free me cahiye Aur 2 hjar kab milenge ye puch rhe the
2420,02-Sep-24,Facebook,Only Lemon lagana hai
2421,03-Sep-24,Facebook,3 Acer ke paise bhre hai 15 din phle abhi tak saplings nhi mile hai complain krne keliye call kiya tha farmer apna nam bhi nhi bta rhe hai 
2422,03-Sep-24,Facebook,Not Desided
2423,03-Sep-24,Facebook,Called to inquired about F4F
2424,03-Sep-24,Facebook,"Chinch,Mango,Bambo"
2425,03-Sep-24,Facebook,Mango
2426,03-Sep-24,Facebook," Mango,Sagwan tissue cluture"
2427,03-Sep-24,Facebook,800 Acre land hai Farmer keh rahe hai land Kharid lijiye aur plantation kijiye
2428,03-Sep-24,Facebook,Called to ge information about F4F
2429,04-Sep-24,Instagram,"Mosambi,Sitaphal"
2430,04-Sep-24,Instagram,"Mango,Sitaphal"
2431,04-Sep-24,Instagram,Mango
2432,04-Sep-24,Instagram,Not Desided
2433,04-Sep-24,Instagram,Harbal Tea
2434,04-Sep-24,Instagram,Not Desided
2435,04-Sep-24,Instagram,Mohgani
2436,05-Sep-24,Instagram,Called to ge information about F4F
2437,05-Sep-24,Instagram,Not Desided
2438,05-Sep-24,Instagram,Nath Gruop Nursary Sambhajinager
2439,06-Sep-24,Instagram,Not Desided
2440,09-Sep-24,Instagram,Called to ge information about F4F
2441,09-Sep-24,Instagram,"Mango,Pomegranate"
2442,09-Sep-24,Instagram,"Jambul,Guava"
2443,09-Sep-24,Youtube/Google,"Mango,Lemon"
2444,10-Sep-24,F4F_Team,Office me visit krna hai
2445,10-Sep-24,Instagram,Mango
2446,11-Sep-24,F4F_Team,"Dalimb, Mango(Not Resive)"
2447,11-Sep-24,Instagram,Not Decided. He is social activist and ready to help us for campaigning in his area.
2448,12-Sep-24,Youtube/Google,Babul
2449,12-Sep-24,Instagram,Not Decided
2450,12-Sep-24,Whatsapp,Guava
2451,13-Sep-24,Instagram,Sitaphal
2452,13-Sep-24,Instagram,Mix
2453,13-Sep-24,Instagram,Called to ge information about F4F
2454,13-Sep-24,Instagram,Guava
2455,13-Sep-24,Instagram,Not Desided
2456,13-Sep-24,Instagram,"Sitaphal,Mango"
2457,13-Sep-24,Instagram,Mango
2458,13-Sep-24,Instagram,Not Desided
2459,14-Sep-24,Instagram,Pomegranate
2460,14-Sep-24,Instagram,Just Wanted To Guidance
2461,14-Sep-24,Instagram,Not Descided
2462,14-Sep-24,Instagram,Called to ge information about F4F
2463,14-Sep-24,Instagram,"Mango,Sitaphal,Guava"
2464,16-Sep-24,Instagram,Guava
2465,16-Sep-24,Instagram,Bamboo ( Only Coumpaund )
2466,16-Sep-24,Instagram,Guava
2467,17-Sep-24,Instagram,Mango
2468,17-Sep-24,Instagram,Will help connect farmers of sambhajinager with F4F
2469,17-Sep-24,Instagram,Not Desided
2470,18-Sep-24,Youtube/Google, 
2471,18-Sep-24,Instagram,The Kisan College Channel (Called to inquired about F4F)
2472,18-Sep-24,Instagram,"Guava,Banana"
2473,18-Sep-24,Instagram,Grampanchayat ka land avilabale hai plantation ke liye
2474,18-Sep-24,Instagram,Guava
2475,18-Sep-24,Instagram,"Jambul,Bamboo(20 Km of parner)"
2476,18-Sep-24,Stall /program/Function,Not Interested
2477,18-Sep-24,Stall /program/Function,"Sitaphal,Mosambi  Alredy Discuscation complete with fild team"
2478,18-Sep-24,Stall /program/Function,Alredey Discuss About Plantation
2479,18-Sep-24,Stall /program/Function,"Sitaphal,Orange "
2480,18-Sep-24,Stall /program/Function,There is a plan to do plantation next year
2481,18-Sep-24,Stall /program/Function,There is a plan to do plantation next year
2482,18-Sep-24,Stall /program/Function,After 1 Month plantation krna hai 
2483,18-Sep-24,Stall /program/Function,Sitaphal
2484,18-Sep-24,Stall /program/Function,Not Descide
2485,18-Sep-24,Stall /program/Function,Will Descide after talking with field manager
2486,18-Sep-24,Stall /program/Function,Not Interested
2487,18-Sep-24,Stall /program/Function,Mosambi(FID bhrna hai)
2488,18-Sep-24,Stall /program/Function,Not Interested
2489,18-Sep-24,Stall /program/Function,Mosambi
2490,18-Sep-24,Stall /program/Function,Not Descide
2491,18-Sep-24,Stall /program/Function,Mango
2492,18-Sep-24,Stall /program/Function,Called to ge information about F4F
2493,18-Sep-24,Stall /program/Function,Just wanted Drip and Organic Compost
2494,18-Sep-24,Stall /program/Function,4 Year ago plantation is done in 2 acre.called to get information about carbon credit
2495,18-Sep-24,Stall /program/Function,Interested Farmer
2496,18-Sep-24,Stall /program/Function,Interested Farmer
2497,19-Sep-24,Peer to Peer,Hiring regarding
2498,19-Sep-24,F4F_Team,Plantation done by F4F
2499,19-Sep-24,Instagram,Not Descided
2500,19-Sep-24,Instagram,Only compound pe saplings lane hai
2501,19-Sep-24,Stall /program/Function,Interested Farmer
2502,19-Sep-24,Stall /program/Function,Alredy disscus about fild team
2503,19-Sep-24,Stall /program/Function,Mango
2504,19-Sep-24,Stall /program/Function,Mosambi  
2505,19-Sep-24,Stall /program/Function,Mango  
2506,19-Sep-24,Stall /program/Function,Interested Farmer
2507,19-Sep-24,Stall /program/Function,Not Descide
2508,19-Sep-24,Stall /program/Function,Interested Farmer( Owner of Farmer produser compnay )
2509,19-Sep-24,Stall /program/Function,Will Descide after talking with field manager
2510,19-Sep-24,Stall /program/Function,Not Intrested
2511,19-Sep-24,Stall /program/Function,Plantation keliye land nhi hai abhi
2512,19-Sep-24,Stall /program/Function, Interested to Agroforestry but Not Desided Fruits
2513,19-Sep-24,Stall /program/Function,Guava.Dragen
2514,19-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2515,19-Sep-24,Stall /program/Function,Interested Farmer
2516,19-Sep-24,Stall /program/Function,Will Descide after talking with field manager
2517,19-Sep-24,Stall /program/Function,Not Interested
2518,19-Sep-24,Stall /program/Function,Mosambi(FID bhrna hai)
2519,20-Sep-24,Instagram,Want to  Apply for post of Fileld Assistant
2520,20-Sep-24,Instagram,Want to  Apply for post of Fileld Assistant
2521,20-Sep-24,Instagram,Want to  Apply for post of Fileld Assistant
2522,20-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2523,20-Sep-24,Instagram,Bamboo
2524,20-Sep-24,Stall /program/Function,Mosambi
2525,20-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2526,20-Sep-24,Instagram,Pomegranate
2527,20-Sep-24,Instagram,Lemon
2528,21-Sep-24,Instagram,Kud ka engo hai F4F ke sath connect hona hai
2529,21-Sep-24,Instagram,Banana
2530,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2531,21-Sep-24,Instagram,"Mango,Lemon"
2532,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2533,21-Sep-24,Instagram,Want to  Apply for post of Fileld Assistant
2534,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2535,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2536,21-Sep-24,Instagram,Want to  Apply for post of Fileld Assistant
2537,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2538,21-Sep-24,Instagram,Sitaphal
2539,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2540,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2541,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2542,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2543,21-Sep-24,Instagram,Want to  Apply for post of Fileld Assistant
2544,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2545,21-Sep-24,Peer to Peer,Want to  Apply for post of Fileld Maneger
2546,21-Sep-24,Instagram,Want to  Apply for post of Fileld Assistant
2547,21-Sep-24,Instagram,Next Year Plantation krna hai
2548,21-Sep-24,Instagram,Sitaphal Water Problem
2549,21-Sep-24,Stall /program/Function,"Guava,Sitaphal,Pomeranate"
2550,21-Sep-24,Stall /program/Function,Mosambi
2551,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2552,21-Sep-24,Facebook,Want to  Apply for post of Fileld Maneger
2553,21-Sep-24,Instagram,Interested Farmer
2554,21-Sep-24,Instagram,Want to  Apply for post of Fileld Maneger
2555,21-Sep-24,Whatsapp,Want to  Apply for post of Fileld Assistant
2556,23-Sep-24,Instagram,Interested Farmer
2557,23-Sep-24,Instagram,Interested Farmer
2558,23-Sep-24,Instagram,Mango
2559,23-Sep-24,Instagram,Interested Farmer
2560,23-Sep-24,Instagram,Mosambi
2561,23-Sep-24,Instagram,"Papai,Guava"
2562,23-Sep-24,Instagram,Lemon
2563,23-Sep-24,Stall /program/Function,Interested Farmer
2564,23-Sep-24,Stall /program/Function,This farmer alredy connected to F4F again this year plantion plan (Mosambi)
2565,23-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2566,23-Sep-24,Stall /program/Function,Called to get information about F4F ( Owner of Madat Foundation)
2567,23-Sep-24,Stall /program/Function,Mosambi
2568,23-Sep-24,Stall /program/Function,Interested Farmer
2569,23-Sep-24,Stall /program/Function,Not Intrested
2570,23-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2571,23-Sep-24,Stall /program/Function,Not Intrested
2572,24-Sep-24,Instagram,Interested Farmer
2573,24-Sep-24,Instagram,Interested Farmer
2574,24-Sep-24,Instagram,Sitaphal
2575,24-Sep-24,Stall /program/Function,Sitaphal
2576,24-Sep-24,Stall /program/Function,Water Problem
2577,24-Sep-24,Stall /program/Function,Intetested Farmer
2578,24-Sep-24,Stall /program/Function,Not Desided
2579,24-Sep-24,Stall /program/Function,Not Intrested
2580,24-Sep-24,Stall /program/Function,Tarmarind
2581,24-Sep-24,Stall /program/Function,Interested Farmer
2582,24-Sep-24,Stall /program/Function,Mango
2583,24-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2584,24-Sep-24,Stall /program/Function,Interested Farmer 
2585,24-Sep-24,Stall /program/Function,Not Descide
2586,24-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2587,24-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2588,24-Sep-24,Stall /program/Function,Interested Farmer
2589,24-Sep-24,Stall /program/Function,Mosambi
2590,24-Sep-24,Stall /program/Function,Mango
2591,24-Sep-24,Stall /program/Function,Water Problem
2592,24-Sep-24,Stall /program/Function,Water Problem
2593,24-Sep-24,Instagram,"Mango,Mosambi"
2594,25-Sep-24,Instagram,Guava
2595,25-Sep-24,Instagram,Orange
2596,25-Sep-24,Instagram,"Mango,Sitaphal"
2597,25-Sep-24,Youtube/Google,Interested Farmer
2598,25-Sep-24,Instagram,"Only compound krna hai(Bamboo,Sagwan)"
2599,25-Sep-24,Instagram,Interested Farmer
2600,25-Sep-24,Instagram,Interested Farmer
2601,25-Sep-24,Instagram,Called to get information about F4F
2602,25-Sep-24,Instagram,Called to get information about F4F
2603,25-Sep-24,Instagram,Guava
2604,25-Sep-24,Youtube/Google,Interested Farmer
2605,25-Sep-24,Youtube/Google,Mix
2606,25-Sep-24,Youtube/Google,Interested Farmer
2607,25-Sep-24,Youtube/Google,Plantation done by F4F
2608,25-Sep-24,Youtube/Google,"Mosambi,Sitaphal"
2609,25-Sep-24,Youtube/Google,Interested Farmer
2610,25-Sep-24,Youtube/Google,"Mango,Sitaphal"
2611,25-Sep-24,Youtube/Google,Mango
2612,25-Sep-24,Youtube/Google,Not Descide
2613,25-Sep-24,Youtube/Google,Mango
2614,25-Sep-24,Youtube/Google,Interested Farmer
2615,25-Sep-24,Youtube/Google,Lemon
2616,25-Sep-24,Youtube/Google,Interested Farmer
2617,25-Sep-24,Youtube/Google,Interested Farmer
2618,26-Sep-24,Youtube/Google,Interested Farmer
2619,26-Sep-24,Youtube/Google,Mosambi
2620,26-Sep-24,Youtube/Google,"Sitaphal,Lemon"
2621,26-Sep-24,Youtube/Google,Interested Farmer
2622,26-Sep-24,Youtube/Google,Papai
2623,26-Sep-24,Youtube/Google,"Mango,Jambul"
2624,26-Sep-24,Youtube/Google,"Lemon,Bambo,Mango"
2625,26-Sep-24,Youtube/Google,Guava
2626,26-Sep-24,Youtube/Google,Pomegranated
2627,26-Sep-24,Youtube/Google,Mango  
2628,26-Sep-24,Youtube/Google,Lemon  
2629,26-Sep-24,Youtube/Google,Interested Farmer
2630,26-Sep-24,Youtube/Google,Interested Farmer
2631,26-Sep-24,Youtube/Google,Interested Farmer
2632,26-Sep-24,Youtube/Google,Interested Farmer
2633,26-Sep-24,Instagram,Interested Farmer
713,26-Sep-24,Instagram,Interested Farmer
2635,26-Sep-24,Instagram,"Mango,Sitaphal"
2636,26-Sep-24,Instagram,"Orange,Mosambi"
2637,26-Sep-24,Instagram,Interested Farmer
2638,26-Sep-24,Instagram,Interested Farmer
2639,26-Sep-24,Instagram,Mango
2640,26-Sep-24,Instagram,Interested Farmer
2641,26-Sep-24,Stall /program/Function,Mango
2642,26-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2643,26-Sep-24,Stall /program/Function,Water Problem
2644,26-Sep-24,Stall /program/Function,Interested Farmer
2645,26-Sep-24,Stall /program/Function,Interested Farmer
2646,26-Sep-24,Stall /program/Function,Interested Farmer
2647,26-Sep-24,Stall /program/Function,Interested Farmer
2648,26-Sep-24,Stall /program/Function,Not Interested
2649,26-Sep-24,Stall /program/Function,Not Descide
2650,26-Sep-24,Stall /program/Function,Not Descide
2651,26-Sep-24,Stall /program/Function,Mango
2652,26-Sep-24,Stall /program/Function,Sitaphal
2653,26-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2654,26-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2655,26-Sep-24,Instagram,Interesred Farmer
2656,26-Sep-24,Instagram,Interesred Farmer
2657,26-Sep-24,Instagram,Interesred Farmer
2658,26-Sep-24,Instagram,Lemon
2659,27-Sep-24,Instagram,Interested Farmer
2660,27-Sep-24,Instagram,Interested Farmer
2661,27-Sep-24,Instagram,Guava(Not Resive)
2662,27-Sep-24,Instagram,Mango
2663,27-Sep-24,Instagram,Interested Farmer
2664,27-Sep-24,Stall /program/Function,Interested Farmer
2672,27-Sep-24,Stall /program/Function,Jambul
2673,27-Sep-24,Stall /program/Function,Not Interested
2674,27-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2675,27-Sep-24,Stall /program/Function,Not Desided
2676,27-Sep-24,Instagram,Interested Farmer
2677,27-Sep-24,Stall /program/Function,Water Problem
2678,27-Sep-24,Stall /program/Function,Interested Farmer
2679,27-Sep-24,Stall /program/Function,Farmer producer Company hai F4F se connect hona chahte hai
2680,27-Sep-24,Stall /program/Function,Interested Farmer
2681,27-Sep-24,Stall /program/Function,Not Deside
2682,27-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2683,27-Sep-24,Instagram,Interested Farmer
2684,27-Sep-24,Instagram,Interested Farmer
2685,27-Sep-24,Instagram,Guava
2686,27-Sep-24,Instagram,Interested Farmer
2687,27-Sep-24,Instagram,Interested Farmer
2688,27-Sep-24,Youtube/Google,Guava
2689,28-Sep-24,Instagram,Interested Farmer
2690,28-Sep-24,Whatsapp,Interested Farmer
2691,28-Sep-24,Instagram,"Anjir(Dalimb,Greps)"
2692,28-Sep-24,Instagram,Interested Farmer
2693,28-Sep-24,Stall /program/Function,Interested Farmer
2694,28-Sep-24,Stall /program/Function,Interested Farmer
2695,28-Sep-24,Stall /program/Function,Not Deside
2696,28-Sep-24,Stall /program/Function,Interested Farmer
2697,28-Sep-24,Stall /program/Function,6 Mont after planted mosambi plantation called to inquired about carbon credit
2698,28-Sep-24,Stall /program/Function,Interested Farmer
2699,28-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2700,28-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2701,28-Sep-24,Stall /program/Function,Not Deside
2702,28-Sep-24,Stall /program/Function,Not Deside
2703,28-Sep-24,Stall /program/Function,Interested Farmer
2704,28-Sep-24,Stall /program/Function, Interested to Agroforestry but Not Desided Fruits
2705,28-Sep-24,Stall /program/Function,Not Deside
2706,28-Sep-24,Instagram,Interested Farmer
2707,28-Sep-24,Instagram,Interested Farmer
2708,28-Sep-24,Instagram,Interested Farmer
2709,30-Sep-24,Instagram,Interested Farmer
2710,30-Sep-24,Instagram,Interested Farmer
2711,30-Sep-24,Instagram,"Guava,Promegranate(Not Resive)"
2712,30-Sep-24,Instagram,Interested Farmer
2713,30-Sep-24,Instagram,Sitaphal
2714,30-Sep-24,Instagram,Not Deside
2715,30-Sep-24,Instagram,"Lemon,Mosambi"
2717,30-Sep-24,Instagram,Interested Farmer
2717,30-Sep-24,Instagram,Guava
2718,30-Sep-24,Instagram,Just Want Compound
2719,30-Sep-24,Instagram,Interested Farmer
2720,30-Sep-24,Instagram,Interested Farmer
2721,30-Sep-24,Instagram,Interested Farmer
2722,30-Sep-24,Instagram,Interested Farmer
2723,30-Sep-24,Instagram,Interested Farmer
2724,30-Sep-24,Instagram,Interested Farmer
2725,30-Sep-24,Instagram,Called to get information about F4F
2726,30-Sep-24,Instagram,Interested Farmer
2727,30-Sep-24,Stall /program/Function,Interested Farmer
2728,30-Sep-24,Stall /program/Function,Water Problem
2729,30-Sep-24,Stall /program/Function,Interested Farmer
2730,30-Sep-24,Stall /program/Function,Interested Farmer
2731,30-Sep-24,Stall /program/Function,Interested Farmer
2732,30-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2733,30-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2734,30-Sep-24,Stall /program/Function,Not Interested
2735,30-Sep-24,Stall /program/Function,Next Year Plantation krna hai
2736,30-Sep-24,Stall /program/Function,Guava
2737,30-Sep-24,Stall /program/Function,Interested Farmer
2738,30-Sep-24,Stall /program/Function,Interested Farmer
2739,30-Sep-24,Stall /program/Function,Water Problem
2740,30-Sep-24,Stall /program/Function,Intetested Farmer
2741,30-Sep-24,Stall /program/Function,"Sitphal,Mango"
2742,30-Sep-24,Instagram,Interested Farmer
2743,30-Sep-24,Instagram,interested Farmer
2744,30-Sep-24,Instagram,interested Farmer
2745,03-Oct-24,Instagram,interested Farmer
2746,03-Oct-24,Instagram,interested Farmer
2747,03-Oct-24,Facebook,Guava
2748,03-Oct-24,Instagram,"Mango, Sitafal(Busy)"
2749,03-Oct-24,Instagram,"Mango,Lemon"
2750,03-Oct-24,Poster/Flyer,Mango  
2751,04-Oct-24,Instagram,"Mango, lemon, sitafal(Interested Farmer)"
2752,04-Oct-24,Instagram,Interested Farmer
2753,04-Oct-24,Instagram,"Mango,peru"
2754,04-Oct-24,Instagram,"Sitafal,mango"
2755,04-Oct-24,Instagram,"Mango, sitafal"
2756,05-Oct-24,Instagram,Lemon
2757,05-Oct-24,Peer to Peer,Mango
2758,07-Oct-24,Peer to Peer,peru
2759,07-Oct-24,Instagram,Mango
2760,07-Oct-24,Instagram,Orange
2761,07-Oct-24,Instagram,Mango
2762,07-Oct-24,Instagram,"Mango,Lemon,mosambi"
2763,07-Oct-24,Instagram,"Mango,lemon"
2764,07-Oct-24,Instagram,He wants to only 0.5 acre
2765,07-Oct-24,Instagram,Mango
2766,08-Oct-24,Instagram,he want to plant Anjir 
2767,09-Oct-24,Instagram,Interested farmer
2768,09-Oct-24,Poster/Flyer,Mango
2769,09-Oct-24,Instagram,Mango(Busy)
2770,09-Oct-24,Instagram,Sitafal
2771,09-Oct-24,Instagram,Mango
2772,09-Oct-24,Instagram,Query
2773,11-Oct-24,Instagram,Intereted Farmer
2774,11-Oct-24,Instagram,Sitaphal
2775,11-Oct-24,Instagram,"orange, Mosambi"
2776,12-Oct-24,Instagram, want to work with us
2777,13-Oct-24,Instagram,Jambul
2778,14-Oct-24,Instagram,want to work with us
2779,14-Oct-24,Poster/Flyer,"Sitaphal,Jambul"
2780,14-Oct-24,Whatsapp,Mango
2781,14-Oct-24,Instagram,Mango
2782,14-Oct-24,Whatsapp,Guava(Not Resive)
2783,15-Oct-24,Whatsapp,Mango
2784,15-Oct-24,Whatsapp,mango
2785,15-Oct-24,Whatsapp,"sitafal, mango"
2786,15-Oct-24,Peer to Peer,"sitafal, mango"
2787,15-Oct-24,Peer to Peer,"Mango,Sitaphal "
2788,15-Oct-24,Facebook,"Lemon, mango"
2789,15-Oct-24,Whatsapp,All types of plant
2790,16-Oct-24,Instagram,Mango
2791,16-Oct-24,Whatsapp,"Guava,Sitaphal"
2792,16-Oct-24,Whatsapp,Mango
2793,16-Oct-24,Whatsapp,"Sitaphal,Lemon"
2794,16-Oct-24,Whatsapp,"Sitaphal,Lemon,Mango"
2795,16-Oct-24,Whatsapp,Mango
2796,16-Oct-24,Whatsapp,Mango
2797,16-Oct-24,Peer to Peer,"Lemon,Mango"
2798,16-Oct-24,Whatsapp,"Mango,Lemon"
2799,16-Oct-24,Whatsapp,"Mango,Lemon"
2800,17-Oct-24,Whatsapp,"Sitaphal,Jambul"
2801,17-Oct-24,Whatsapp,mango
2802,18-Oct-24,Instagram,"Guava,mango"
2803,18-Oct-24,Whatsapp,Mango
2804,18-Oct-24,Stall /program/Function,Interested Farmer
2805,18-Oct-24,Stall /program/Function,Interested Farmer
2806,18-Oct-24,Stall /program/Function,Interested Farmer
2807,18-Oct-24,Stall /program/Function,Mango
2808,18-Oct-24,Stall /program/Function,Water Problem 
2809,18-Oct-24,Stall /program/Function,Next Year Plantation krna hai
2810,18-Oct-24,Stall /program/Function,Interesed Farmer
2811,18-Oct-24,Stall /program/Function,Not Descide
2812,18-Oct-24,Stall /program/Function,Interested Farmer
2813,18-Oct-24,Stall /program/Function,Interesed Farmer
2814,18-Oct-24,Stall /program/Function,Interested Farmer
2815,18-Oct-24,Stall /program/Function,Water Problem
2816,18-Oct-24,Stall /program/Function,Not Interested
2817,18-Oct-24,Stall /program/Function,Interested Farmer
2818,18-Oct-24,Stall /program/Function,"Jambul,Sitaphal"
2819,18-Oct-24,Stall /program/Function,Not Descide
2820,18-Oct-24,Stall /program/Function,Interested Farmer
2821,18-Oct-24,Stall /program/Function,Interested Farmer
2822,18-Oct-24,Stall /program/Function,Interested Farmer
2823,18-Oct-24,Stall /program/Function,Interested But not deside
2824,18-Oct-24,Stall /program/Function,"Mosambi,Jambul,Mango"
2825,18-Oct-24,Stall /program/Function,100 Acer land par plantation kar sakte hai
2826,18-Oct-24,Stall /program/Function,Not Interested this year
2827,18-Oct-24,Stall /program/Function,Next Year Plantation krna hai
2828,18-Oct-24,Stall /program/Function,Inerested Farmer
2829,18-Oct-24,Stall /program/Function, Interested to Agroforestry but Not Desided Fruits
2830,18-Oct-24,Stall /program/Function,Not Descide
2831,21-Oct-24,Youtube/Google,Interested Farmer
2832,21-Oct-24,Instagram,"Sitaphal,mosambi"
2833,21-Oct-24,Stall /program/Function,Interested Farmer
2834,21-Oct-24,Stall /program/Function,Interested Farmer
2835,21-Oct-24,Stall /program/Function,Sitaphal
2836,21-Oct-24,Stall /program/Function,Mango 
2837,21-Oct-24,Stall /program/Function,Banana
